City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,kodiak,57.79,-152.4072,274.88,55,100,0.0,US,1699579768
108,blackmans bay,-43.0167,147.3167,298.44,60,97,0.89,AU,1699579832
109,uturoa,-16.7333,-151.4333,299.8,81,11,5.77,PF,1699579832
110,shingu,33.7333,135.9833,291.42,97,100,1.99,JP,1699579833
111,justo daract,-33.8594,-65.1828,295.11,28,100,10.49,AR,1699579833
112,yigo village,13.5361,144.8886,303.33,75,40,8.23,GU,1699579834
113,choszczno,53.169,15.4205,281.3,77,100,5.91,PL,1699579834
114,dryden,49.7833,-92.7503,272.31,93,100,3.09,CA,1699579835
115,cockburn town,21.4612,-71.1419,301.13,74,40,6.17,TC,1699579836
116,kitimat,54.0524,-128.6534,279.36,64,100,2.24,CA,1699579836
117,nogliki,51.8333,143.1667,273.34,96,100,8.94,RU,1699579837
118,tymovskoye,50.8456,142.655,269.55,94,100,2.35,RU,1699579837
119,puerto baquerizo moreno,-0.9,-89.6,297.73,83,100,7.16,EC,1699579838
120,vacha,55.8008,42.7706,276.19,92,100,5.87,RU,1699579838
121,ust'-ilimsk,58.0006,102.6619,256.73,96,8,0.45,RU,1699579628
122,hobyo,5.3505,48.5268,299.6,84,100,7.52,SO,1699579839
123,pacific grove,36.6177,-121.9166,290.38,78,0,1.79,US,1699579687
124,cumaral,4.2708,-73.4867,295.67,95,100,2.5,CO,1699579840
125,yaren,-0.5472,166.916,302.12,77,99,8.16,NR,1699579841
126,skopin,53.8249,39.5505,276.53,90,9,5.39,RU,1699579841
127,nichinan,31.6,131.3667,291.97,93,100,2.11,JP,1699579842
128,valparaiso,-33.0393,-71.6273,286.95,88,100,2.57,CL,1699579843
129,ketchikan,55.3422,-131.6461,281.41,87,100,1.54,US,1699579843
130,jamestown,42.097,-79.2353,281.92,74,0,4.63,US,1699579738
131,mount pearl,47.5166,-52.7813,276.11,96,100,10.8,CA,1699579844
132,kourou,5.1552,-52.6478,300.18,84,61,4.01,GF,1699579844
133,saint-philippe,-21.3585,55.7679,295.92,81,46,3.4,RE,1699579845
134,belyy yar,53.6039,91.3903,250.09,84,40,0.0,RU,1699579846
135,hermanus,-34.4187,19.2345,289.3,70,0,4.12,ZA,1699579847
136,tofol,5.3248,163.0078,304.03,74,75,5.14,FM,1699579848
137,sharm el-sheikh,27.8518,34.305,299.23,50,0,4.63,EG,1699579849
138,arauco,-37.2463,-73.3175,281.95,91,2,2.73,CL,1699579849
